(2) {'3S', 'AC', '7D', '2S', '5D'} won by high card A
(2) {'AD', 'AS', 'JD', '8H', '6H'} won by pair
(2) {'5H', '5S', '7D', 'JS', 'TS'} won by pair
(2) {'7S', '3C', 'AH', 'TS', '6D'} won by high card A
(1) {'7C', 'QC', '4H', 'AH', '7H'} won by pair
(2) {'6C', 'TC', 'JH', '5H', 'JD'} won by pair
(1) {'JS', '4H', '4S', '8C', '3D'} won by pair
(2) {'TC', 'TD', 'AD', 'KH', '6S'} won by a higher pair A
(2) {'AD', 'QD', '6S', '6H', '3D'} won by pair
(1) {'7C', 'TH', 'QH', '6H', 'TS'} won by pair
(2) {'KD', 'KH', 'AC', '7D', '4H'} won by a higher pair A
(2) {'8S', 'JH', 'TH', 'JD', 'QD'} won by a higher pair Q
(1) {'7C', '6C', '9D', '7D', '8D'} won by pair
(2) {'JH', '2D', 'KS', '4H', '8D'} won by high card K
(2) {'9D', '3H', '2D', 'AH', '6D'} won by high card A
(2) {'KD', 'TD', '3C', 'KS', 'TH'} won by 2 pair
(2) {'KD', '9D', '2S', '2C', '9C'} won by 2 pair
(1) {'3H', 'KS', '8D', '5C', '7H'} won by high card K
(1) {'6C', '2D', 'TH', 'QD', '6D'} won by a higher pair A
(2) {'TC', '5H', 'QC', 'QH', 'JC'} won by a higher pair Q
(1) {'3S', '3C', '6H', '5C', '3D'} won by three
(1) {'AC', '4D', '5D', '5C', '8C'} won by a higher pair A
(2) {'4C', 'QC', 'QD', 'JS', '6S'} won by pair
(2) {'7C', '3H', 'AD', 'JS', 'JC'} won by pair
(2) {'8S', 'TD', '9S', '9H', 'TS'} won by 2 pair
(1) {'AS', 'AC', '7D', 'QD', 'TS'} won by pair
(2) {'9D', '8S', '3C', 'KH', '8D'} won by pair
(2) {'AD', '3C', '4C', 'JS', 'JC'} won by pair
(2) {'5H', 'JH', 'TH', 'AC', 'JS'} won by pair
(2) {'AS', 'KH', 'KS', '5S', '6S'} won by pair
(2) {'9D', '6C', '2H', '5C', '9C'} won by pair
(2) {'3H', 'TD', 'AC', 'QD', 'JC'} won by high card A
(2) {'KD', '7S', 'KS', 'KC', '5C'} won by three
(1) {'3H', '2D', 'QD', '2S', '6D'} won by pair
(1) {'8S', 'AS', '8D', '2C', '6D'} won by pair
(1) {'TD', '2D', 'QH', '9H', '9C'} won by pair
(1) {'8S', 'KH', 'KC', '2S', '3D'} won by a higher pair K
(1) {'9D', 'QS', 'AC', 'KC', '9H'} won by pair
(2) {'8S', 'AD', '7D', '2H', 'JS'} won by high card A
(1) {'AS', 'AC', '9S', '2C', '3D'} won by a higher pair A
(2) {'4C', 'KS', '5S', '8H', '8D'} won by pair
(1) {'3S', '5H', '2H', '2S', '7H'} won by pair
(2) {'3S', 'AC', '9S', '9C', '6D'} won by pair
(2) {'6C', 'AD', '2S', '4S', '6S'} won by pair
(2) {'JH', 'KC', '2H', 'QD', 'QH'} won by pair
(2) {'QS', '2H', 'QD', '8H', '5C'} won by pair
(1) {'3S', 'KD', '6S', '7H', '6D'} won by pair
(2) {'8S', 'AD', '7S', '2D', 'TS'} won by high card A
(2) {'TD', 'QD', 'QH', '8H', 'JC'} won by a higher pair Q
(2) {'KH', 'AS', 'TH', '9H', '2C'} won by high card A
(2) {'AD', '5H', 'KC', 'QH', '9H'} won by high card A
(2) {'7C', 'TD', 'AC', '2S', '6S'} won by high card A
(2) {'6C', 'JH', 'KS', '2S', '4D'} won by high card K
(2) {'KD', '4C', '9C', '3D', '6D'} won by high card K
(1) {'2D', 'AC', '9H', 'AH', '7H'} won by pair
(2) {'KD', '8S', 'AS', 'KH', '8C'} won by 2 pair
(1) {'TD', '7S', '2D', 'TH', '6D'} won by pair
(1) {'KD', '8S', 'QS', 'JD', 'QH'} won by pair
(2) {'3S', 'TD', '2D', '7D', 'AH'} won by high card A
(2) {'6C', '7S', 'TH', 'TS', '6D'} won by 2 pair
(2) {'3H', '8S', '8D', 'TS', '9C'} won by a higher pair Q
(2) {'TC', 'AD', '5S', '2H', 'AH'} won by pair
(1) {'KD', '6C', '9D', 'TS', '9C'} won by a higher pair K
(2) {'AD', '3C', 'KS', 'TH', '4H'} won by high card A
(1) {'KD', '9D', 'KH', '2H', '9C'} won by 2 pair
(2) {'3H', '5D', 'QH', '9S', '9C'} won by pair
(1) {'TD', '2D', '4C', '2H', '8C'} won by pair
(2) {'7C', 'AD', 'KH', '5D', '8D'} won by high card A
(1) {'8S', '4C', '2S', '9S', '8C'} won by a higher pair Q
(2) {'3C', '2H', '2S', '4S', '5C'} won by pair
(1) {'3S', '8S', '2H', 'JC', '6S'} won by high card J
(2) {'3S', '4C', 'JD', '4H', '6S'} won by pair
(1) {'3S', '3H', '4C', '7D', '9S'} won by pair
(2) {'AD', 'QD', '9H', '9C', '6D'} won by a higher pair A
(2) {'4C', 'TH', 'KC', 'JD', '4S'} won by pair
(2) {'KD', 'AD', '5H', 'AS', '9H'} won by pair
(2) {'5H', 'QS', 'TH', 'QH', '5C'} won by 2 pair
(2) {'6C', 'TC', '4C', 'TH', '4D'} won by 2 pair
(1) {'9D', 'KD', 'KH', 'AS', 'TS'} won by pair
(2) {'7C', '4C', 'TH', 'AH', 'TS'} won by pair
(1) {'8S', 'KS', 'AC', '4D', '9S'} won by high card A
(1) {'TC', 'QS', '5D', '5C', '8C'} won by a higher pair Q
(1) {'9D', '2D', '3C', 'KS', 'KC'} won by pair
(1) {'7S', '7D', '8H', '6H', 'AH'} won by pair
(2) {'4C', 'KC', '7D', '4H', '8C'} won by pair
(2) {'8S', 'JH', '4C', 'QH', 'AH'} won by high card A
(2) {'3S', '2S', '9H', '2C', '9C'} won by 2 pair
(2) {'3H', 'TD', '5S', 'AC', 'KC'} won by high card A
(1) {'AS', 'QS', '7D', 'QH', 'JC'} won by a higher pair A
(1) {'AS', 'JS', 'QH', '4H', '3D'} won by high card A
(1) {'9D', '2S', '5D', '4D', '4S'} won by pair
(2) {'7C', '8S', 'JH', '2D', 'AC'} won by high card A
(2) {'9D', '4C', '5S', '8H', '9H'} won by pair
(2) {'9D', 'KH', 'KS', '8D', 'AH'} won by pair
(2) {'3H', '5H', 'QC', 'AH', '9C'} won by high card A
(2) {'TD', 'QC', 'JC', '9H', '9C'} won by a higher pair A
(1) {'2D', '5S', '5D', 'QH', 'JC'} won by pair
(1) {'JH', '5H', '5S', 'AH', '7H'} won by pair
(2) {'6C', 'JH', '7S', 'KC', 'AH'} won by high card A
(1) {'9D', 'AD', '7S', '4C', 'KS'} won by high card A
(1) {'5H', '3C', '8H', '5C', '7H'} won by pair
(2) {'AD', '8H', 'QH', '9H', 'AH'} won by pair
(2) {'3C', '2H', '2S', '5D', '6D'} won by pair
(1) {'8S', '3C', '6S', '6H', 'TS'} won by pair
(1) {'7C', 'JH', 'KS', '9C', '3D'} won by high card K
(2) {'3S', 'KD', 'JH', 'KS', 'JC'} won by 2 pair
(2) {'5H', '7S', 'AH', '8H', '2C'} won by high card A
(1) {'KH', 'KC', 'QD', '8D', '6D'} won by a higher pair K
(2) {'7C', 'TC', 'KC', '2S', '6D'} won by high card K
(1) {'KD', 'JH', 'KC', '9C', '7H'} won by pair
(2) {'8S', '5S', '2H', '8D', '7H'} won by a higher pair 9
(1) {'7C', 'AD', '7S', '3C', '5S'} won by pair
(2) {'4C', 'KH', 'QS', 'QH', 'JC'} won by pair
(2) {'8S', 'QC', 'QD', 'JS', '6D'} won by pair
(2) {'AS', 'AC', 'JD', '9H', '2C'} won by pair
(1) {'7S', '3C', 'KS', 'QC', 'QH'} won by a higher pair A
(2) {'KD', '3H', '5C', 'TS', '3D'} won by pair
(2) {'KD', '3H', 'KS', 'AC', '4H'} won by pair
(2) {'4C', '2H', 'QC', '8C', '9C'} won by high card Q
(2) {'KD', 'AD', '4C', 'JS', 'QH'} won by high card A
(2) {'KD', 'JD', 'JS', 'JC', '9H'} won by three
(1) {'8S', '7S', '3C', '4S', 'TS'} won by high card 10
(1) {'KD', '7S', 'JS', '5C', '6D'} won by high card K
(1) {'6C', 'TC', 'TD', 'QH', '6H'} won by 2 pair
(2) {'6C', '8S', '6S', '2C', '7H'} won by pair
(1) {'3S', '9D', 'JH', 'JD', '9H'} won by 2 pair
(2) {'AD', '3C', '7D', '2S', '4S'} won by high card A
(1) {'AS', 'QC', 'QH', '5C', 'TS'} won by a higher pair A
(2) {'KD', 'KH', 'QS', 'JS', '4H'} won by pair
(2) {'9D', '3C', 'KC', '8H', '8D'} won by pair
(1) {'TC', '8S', 'AD', '2H', '9S'} won by high card A
(2) {'7C', 'KD', '8H', 'AH', '9C'} won by high card A
(1) {'TD', '3C', 'QS', 'QH', 'TS'} won by 2 pair
(1) {'3H', '5S', 'AC', 'KC', '5D'} won by a higher pair A
(2) {'KD', '6C', 'TD', 'TH', '6D'} won by 2 pair
(2) {'KH', '7D', '9S', '8C', '6D'} won by high card K
(1) {'7S', 'QS', 'QC', '2S', 'JD'} won by pair
(2) {'7C', 'AD', '2D', 'JC', '9C'} won by high card A
(1) {'5H', 'JH', '4S', 'AH', '9C'} won by high card A
(1) {'6C', 'KC', '6S', '9C', '7H'} won by pair
(2) {'3S', 'TD', 'JD', '9H', 'TS'} won by pair
(2) {'TC', 'TD', 'QC', 'JD', 'TS'} won by three
(1) {'AD', '4C', 'QS', 'AC', 'QD'} won by 2 pair
(2) {'AD', 'AS', 'KC', '8D', '9C'} won by pair
(2) {'7S', '5S', '6S', 'AH', '8C'} won by high card A
(2) {'JH', 'AS', 'KH', 'JD', '6S'} won by pair
(2) {'JH', '2D', 'AC', 'QD', 'JS'} won by pair
(2) {'3S', '6C', 'JC', '6H', '3D'} won by 2 pair
(1) {'3S', 'KD', 'KC', 'QC', 'JC'} won by pair
(1) {'KD', 'AS', 'JD', '8H', '3D'} won by high card A
